feature,mean_importance,std_importance,mean_rank
f719,0.000369,0.000114,455.67
f720,0.000628,0.000390,369.67
f721,0.000185,0.000129,587.67
f722,0.000449,0.000227,417.33
f723,0.000199,0.000064,570.67
f724,0.000376,0.000270,480.33
f725,0.000733,0.000019,274.00
f726,0.000536,0.000314,401.00
f727,0.000123,0.000009,633.00
f728,0.000322,0.000075,485.67
f729,0.000396,0.000064,436.67
f730,0.000359,0.000153,467.33
f731,0.000416,0.000159,434.67
f732,0.000139,0.000115,621.00
f733,0.000124,0.000079,633.67
f734,0.000634,0.000288,348.67
f735,0.000483,0.000103,386.00
f736,0.000807,0.000287,278.00
f737,0.000444,0.000168,418.67
f738,0.000772,0.000118,266.33
f739,0.000216,0.000106,559.67
f740,0.001051,0.000108,205.00
f741,0.000400,0.000168,447.00
f742,0.000212,0.000069,560.67
f743,0.000208,0.000171,581.33
f744,0.001007,0.000394,250.33
f745,0.001403,0.000130,163.00
f746,0.001121,0.000473,232.67
f747,0.001101,0.000485,227.33
f748,0.000217,0.000147,565.33
f749,0.000220,0.000072,564.67
f750,0.001677,0.000898,166.67
f751,0.000556,0.000254,377.67
f752,0.000476,0.000098,397.67
f753,0.000548,0.000100,346.33
f754,0.000438,0.000079,410.67
f755,0.000557,0.000269,381.00
f756,0.000410,0.000220,444.00
f757,0.000120,0.000048,639.00
f758,0.001065,0.000485,234.00
f759,0.001154,0.000425,210.67
f760,0.001361,0.000866,237.67
f761,0.000625,0.000363,366.00
f762,0.001376,0.000769,214.33
f763,0.000222,0.000086,554.33
f764,0.001529,0.000671,171.67
f765,0.000312,0.000035,490.33
f766,0.000435,0.000061,407.67
f767,0.000166,0.000017,597.67
f768,0.000540,0.000217,376.67
f769,0.000187,0.000014,583.00
f770,0.000655,0.000462,376.33
f771,0.000285,0.000011,508.33
f772,0.000213,0.000086,564.67
f773,0.000232,0.000086,551.67
f774,0.000243,0.000095,540.33
f775,0.000241,0.000074,541.00
f776,0.001779,0.000290,132.00
f777,0.001464,0.000642,192.00
f778,0.000315,0.000026,489.67
f779,0.000316,0.000171,498.33
f780,0.000517,0.000214,383.67
f781,0.000385,0.000265,472.33
f782,0.000274,0.000090,521.00
f783,0.000191,0.000173,597.67
